id,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Fire Alarm
0,1654733331,20,57.36,0,400,0
1,1654733332,20.015,56.67,0,400,0
2,1654733333,20.029,55.96,0,400,0
3,1654733334,20.044,55.28,0,400,0
4,1654733335,20.059,54.69,0,400,0
5,1654733336,20.073,54.12,0,400,0
6,1654733337,20.088,53.61,0,400,0
7,1654733338,20.103,53.2,0,400,0
8,1654733339,20.117,52.81,0,400,0
9,1654733340,20.132,52.46,0,400,0
10,1654733341,20.146,52.15,0,400,0
11,1654733342,20.161,51.84,0,400,0
12,1654733343,20.175,51.62,0,400,0
13,1654733344,20.19,51.39,0,400,0
14,1654733345,20.204,51.17,0,403,0
15,1654733346,20.219,50.99,0,400,0
16,1654733347,20.233,50.86,0,400,0
17,1654733348,20.248,50.66,0,400,0
18,1654733349,20.262,50.49,0,400,0
19,1654733350,20.277,50.27,0,406,0
20,1654733351,20.291,50.15,0,400,0
21,1654733352,20.305,50.02,0,400,0
22,1654733353,20.32,49.96,0,400,0
23,1654733354,20.334,49.83,0,415,0
24,1654733355,20.348,49.76,0,400,0
25,1654733356,20.363,49.65,0,401,0
26,1654733357,20.377,49.58,0,404,0
27,1654733358,20.391,49.37,30,445,0
28,1654733359,20.406,49.58,36,455,0
29,1654733360,20.42,50.11,20,443,0
30,1654733361,20.434,50.68,16,435,0
31,1654733362,20.448,51.23,8,440,0
32,1654733363,20.462,51.77,11,440,0
33,1654733364,20.477,52.28,0,420,0
34,1654733365,20.491,52.74,0,414,0
35,1654733366,20.505,53.12,3,413,0
36,1654733367,20.519,53.5,0,410,0
37,1654733368,20.533,53.84,0,413,0
38,1654733369,20.547,54.13,0,400,0
39,1654733370,20.561,54.41,6,415,0
40,1654733371,20.575,54.67,7,406,0
41,1654733372,20.589,54.91,0,400,0
42,1654733373,20.603,55.08,0,410,0
43,1654733374,20.617,55.28,0,400,0
44,1654733375,20.631,55.49,0,400,0
45,1654733376,20.645,55.86,8,404,0
46,1654733377,20.659,55.99,9,406,0
47,1654733378,20.673,56.11,0,400,0
48,1654733379,20.687,56.18,0,400,0
49,1654733380,20.701,56.32,0,408,0
50,1654733381,20.715,56.36,6,416,0
51,1654733382,20.729,56.47,14,411,0
52,1654733383,20.743,56.55,11,404,0
53,1654733384,20.756,56.6,11,404,0
54,1654733385,20.77,56.66,4,400,0
55,1654733386,20.784,56.91,0,400,0
56,1654733387,20.798,56.64,0,400,0
57,1654733388,20.812,56.06,0,400,0
58,1654733389,20.825,55.38,0,400,0
59,1654733390,20.839,54.75,0,401,0
60,1654733391,20.853,54.14,4,406,0
61,1654733392,20.867,53.6,11,415,0
62,1654733393,20.88,53.11,0,400,0
63,1654733394,20.894,52.66,0,418,0
64,1654733395,20.908,52.27,10,411,0
65,1654733396,20.921,51.94,27,415,0
66,1654733397,20.935,51.66,18,413,0
67,1654733398,20.948,51.38,23,421,0
68,1654733399,20.962,51.16,13,407,0
69,1654733400,20.976,50.92,7,407,0
70,1654733401,20.989,50.72,18,401,0
71,1654733402,21.003,50.55,18,412,0
72,1654733403,21.016,50.38,18,417,0
73,1654733404,21.03,50.24,18,413,0
74,1654733405,21.043,50.1,12,410,0
75,1654733406,21.057,49.93,20,417,0
76,1654733407,21.07,49.88,19,400,0
77,1654733408,21.084,49.74,2,405,0
78,1654733409,21.097,49.67,16,408,0
79,1654733410,21.11,49.55,15,404,0
80,1654733411,21.124,49.47,18,405,0
81,1654733412,21.137,49.44,6,400,0
82,1654733413,21.15,49.39,7,407,0
83,1654733414,21.164,49.31,12,420,0
84,1654733415,21.177,49.21,15,420,0
85,1654733416,21.19,49.07,41,448,0
